"role","original_path","new_path","converted","sha256","notes"
"ui_pop.ogg","C:\Users\Hope\Downloads\ui_pop.wav","D:\Repos\Seasonal_outbreaks_Godot\res\assets\sounds\ui_pop.ogg","False","FFED841350B0B4673CE02AB841636460156DB415AC1DE9E890562407D19B0B8F","copied/raw or already .ogg"
"ambulance_siren.ogg","C:\Users\Hope\Downloads\ambulance_siren.mp3","D:\Repos\Seasonal_outbreaks_Godot\res\assets\sounds\ambulance_siren.ogg","False","0CE55B33574CC26305CC3AA435A9EA29A8793AAD92F390CDA7B52C37338228E1","copied/raw or already .ogg"
"infect.ogg","C:\Users\Hope\Downloads\infect.wav","D:\Repos\Seasonal_outbreaks_Godot\res\assets\sounds\infect.ogg","False","2138F54036704CFB86E72D3AC416B1F44E33D05BCFADC78347EABADA97C4476F","copied/raw or already .ogg"
"ambient_bg.ogg","C:\Users\Hope\Downloads\ambient_bg.wav","D:\Repos\Seasonal_outbreaks_Godot\res\assets\sounds\ambient_bg.ogg","False","867173A7052B5DE26522674355E65C81203C7D0178929BDEB86855B45C771493","copied/raw or already .ogg"
